dataset,domain,n,p_raw,high_confidence_errors,base_conditional_auc,augmented_conditional_auc,delta_conditional_auc,conflict_error_gap,diagnostic_eligible_rate,diagnostic_pass_rate,median_monotone_p,low_confidence_error_auc,conflict_error_auc,attribution_seconds,sef_seconds,rows_per_second,delta_sign_flip_p
Diabetes,Healthcare,768,8,16.733333333333334,0.4883067815630394,0.5230542210925434,0.03474743952950403,0.10392156862745099,0.2,0.0,0.074,0.579504774539129,0.6198035140656888,0.013729106658138335,0.00016818000779797633,19852.107197179943,0.0731
Heart disease,Healthcare,270,13,3.4,0.6628196695638556,0.6643134836739488,0.0014938141100931611,0.14444444444444443,0.0,,0.068,0.7076063626968796,0.7252793871662239,0.02710265333298594,0.00012354000161091488,5905.96402805536,0.4815
Blood transfusion,Healthcare,748,4,26.133333333333333,0.629429204503531,0.6187911986126245,-0.010638005890906528,0.07277126338722682,1.0,0.2,0.134,0.677039796743829,0.5595971404252919,0.013135626659883807,9.989332950984438e-05,20627.68776385942,0.9262
German credit,Finance,1000,20,30.266666666666666,0.6358783763951852,0.6654348877650426,0.02955651136985728,0.03333333333333333,1.0,0.0,0.314,0.6558828924072507,0.5252491758288709,0.04342657999368384,0.00022108666986847919,8461.224118746291,0.0037
Bank marketing,Finance,45211,16,597.4666666666667,0.8533842856243108,0.9222859245083239,0.06890163888401299,-0.17219413549039433,1.0,0.0,1.0,0.46141552503682565,0.2031639549382826,0.23830955332765977,0.017644980010421325,64927.15703433021,0.0002
Credit-card default,Finance,30000,23,1146.3333333333333,0.5617499989467785,0.6530068872437202,0.09125688829694172,-0.12932216298552932,1.0,0.0,1.0,0.5556848631551393,0.42279907961606494,0.034599713344747825,0.004907419994318237,288249.4915618144,0.0002
