metric,value,ci_low,ci_high,n
test_error,0.24854761904761905,0.2449047619047619,0.25250059523809526,42000
low_conflict_error,0.09552380952380952,0.08961190476190477,0.10143571428571427,10500
high_conflict_error,0.40904761904761905,0.39923571428571425,0.41819523809523806,10500
high_res_error,0.09428571428571429,0.08904047619047618,0.09971666666666666,10500
low_res_error,0.40914285714285714,0.40075714285714287,0.41819047619047617,10500
