dataset,model,runs,test_error_mean,test_error_sd,low_conflict_error_mean,low_conflict_error_sd,high_conflict_error_mean,high_conflict_error_sd,high_res_error_mean,high_res_error_sd,low_res_error_mean,low_res_error_sd,mean_conflict_mean,mean_conflict_sd,mean_stability_mean,mean_stability_sd,mean_res_mean,mean_res_sd,sef_triage_error_10_mean,sef_triage_error_10_sd,confidence_triage_error_10_mean,confidence_triage_error_10_sd,sef_triage_error_20_mean,sef_triage_error_20_sd,confidence_triage_error_20_mean,confidence_triage_error_20_sd,sef_triage_error_30_mean,sef_triage_error_30_sd,confidence_triage_error_30_mean,confidence_triage_error_30_sd
Breast cancer,Gradient boosting,20.0,0.03475000000000001,0.010062305898749053,0.0,0.0,0.10100000000000002,0.0427846504694087,0.0,0.0,0.10400000000000002,0.04523622209550312,0.2961325430816458,0.03578165986778953,0.9870221269974326,0.004644509486846904,0.696261133768921,0.036861529587776824,0.0225,0.012549447357547545,0.013055555555555556,0.006052349062536697,0.014687500000000001,0.010590113003223935,0.007812500000000002,0.005316851932646255,0.009999999999999998,0.011447352988371884,0.004285714285714287,0.004861121766990861
Breast cancer,Random forest,20.0,0.045250000000000005,0.013810274588527424,0.002,0.006155870112510925,0.11100000000000002,0.05928521605008506,0.002,0.006155870112510925,0.11300000000000002,0.05629807886784882,0.2621917591200119,0.033796871155540566,0.9856450668656898,0.004833102599117899,0.7283047682056243,0.03429837641704039,0.03277777777777778,0.01395015726038039,0.015277777777777779,0.00968560355266192,0.026875,0.017455300054711177,0.0065625000000000015,0.004289579632207874,0.018928571428571427,0.01488859452890658,0.004642857142857143,0.004193878204374285
Digits,Gradient boosting,20.0,0.015234375,0.008203614490408288,0.0,0.0,0.0609375,0.03281445796163315,0.0,0.0,0.0609375,0.03281445796163315,0.24649858904419658,0.02680359744159476,0.9937591128745126,0.0028393806914744244,0.7491560427708674,0.027576144965631124,0.0017241379310344827,0.0035378563865005315,0.0004310344827586207,0.0019276448081894737,0.0004854368932038835,0.002170939783980378,0.0,0.0,0.0,0.0,0.0,0.0
Digits,Random forest,20.0,0.009765625,0.007551138023111414,0.0,0.0,0.0375,0.031414043121877164,0.0,0.0,0.0375,0.031414043121877164,0.30361672938625367,0.018838860497738794,0.986293461304389,0.003422713571956968,0.6867166875811874,0.01860126807508601,0.0017241379310344827,0.0045098996877637665,0.0,0.0,0.000970873786407767,0.002988286462383944,0.0,0.0,0.0005555555555555556,0.0024845199749997664,0.0,0.0
Iris,Gradient boosting,20.0,0.06857142857142856,0.026866419770378697,0.01468253968253968,0.03662172163191995,0.1549618437118437,0.08612151650856485,0.012936507936507935,0.033455538410713775,0.15589618714618717,0.08689663814845668,0.21677221352016182,0.09343584787408285,0.9868519080867179,0.01136241865628302,0.7751584598237446,0.09419418148680327,0.05,0.023560532341407873,0.0421875,0.029165687640210297,0.02857142857142857,0.02485187049780212,0.024999999999999998,0.02346238161899237,0.026000000000000002,0.02348571794449599,0.018,0.020416711421361616
Iris,Random forest,20.0,0.06285714285714286,0.035419838846164904,0.01780753968253968,0.03794558392592808,0.15000000000000002,0.1263008979742813,0.016666666666666666,0.040705283170280354,0.15000000000000002,0.1263008979742813,0.28841585219479127,0.06393029952975081,0.9818329091431967,0.008908059369340233,0.6991377902048921,0.06176015519960412,0.0515625,0.04334279480885035,0.034375,0.022443276451862747,0.03928571428571428,0.04620390988798055,0.007142857142857143,0.014656833601216484,0.030000000000000006,0.04279695021106552,0.006,0.014653901941300927
Wine,Gradient boosting,20.0,0.03571428571428571,0.027311396889352593,0.0,0.0,0.11153846153846154,0.10703197021607314,0.0,0.0,0.11153846153846154,0.10703197021607314,0.27288769624767195,0.0456694100507138,0.9958333246352089,0.0035700885026961194,0.7243709246056073,0.04548105289222317,0.02894736842105263,0.023997618582341874,0.002631578947368421,0.008099829095409109,0.01764705882352941,0.02765660858715454,0.0,0.0,0.008333333333333333,0.01480872194397731,0.0,0.0
Wine,Random forest,20.0,0.025,0.03495432035211378,0.0,0.0,0.0590909090909091,0.09903843920514595,0.0,0.0,0.0590909090909091,0.09903843920514595,0.39290006400289057,0.05670487622706791,0.9898386704873212,0.004600387541182177,0.6002799279330222,0.055963004123683525,0.019736842105263157,0.03401821077788126,0.006578947368421052,0.014476831690004757,0.01764705882352941,0.02925655642087294,0.0014705882352941176,0.006576670522058204,0.013333333333333332,0.01994143472053729,0.0,0.0
