dataset,accepted_fraction,accepted_fraction_sd,all_error,accepted_error,flagged_error,flagged_error_sd
Breast cancer,0.9127485380116959,0.032395416002398425,0.02923976608187134,0.011136185729032699,0.22632564193632304,0.11603865464373747
Digits,0.9154545454545455,0.03261007669997333,0.008,0.0001923076923076923,0.10389056205232676,0.10293966984874818
Iris,0.9740000000000001,0.0400056685325871,0.05266666666666667,0.04224365289882531,0.40869565217391307,0.4233664257292761
Wine,0.9477777777777777,0.05401491913388431,0.03,0.02952225152035399,0.01143483709273183,0.03987894928956402
