dataset,domain,seed,n,p_raw,categorical_share,minority_share,test_error,brier,high_confidence_n,high_confidence_errors,base_conditional_auc,augmented_conditional_auc,delta_conditional_auc,conflict_error_auc,entropy_error_auc,low_confidence_error_auc,mass_error_auc,monotone_statistic,monotone_p_value,conflict_error_gap,diagnostic_eligible,diagnostic_pass,attribution_seconds,sef_seconds,rows_per_second
Bank marketing,Finance,3,45211,16,0.5625,0.11698480458295547,0.15647118301314458,0.11997633821587197,7912,581,0.8478782131664018,0.9259279259016304,0.07804971273522865,0.20599998450453605,0.1551812018422698,0.4829417246122671,0.8690823468866208,-0.06929545879506778,1.0,-0.16582406471183014,1.0,0.0,0.3252811999991536,0.01845030003460124,46035.932111098526
Bank marketing,Finance,4,45211,16,0.5625,0.11698480458295547,0.15653437815975732,0.12135727622830422,7912,595,0.8466136762207958,0.917179171791718,0.07056549557092229,0.19901828710163852,0.15766966073022073,0.45061265178478116,0.8734454011206779,-0.07251171877820049,1.0,-0.17896865520728006,1.0,0.0,0.28252740000607446,0.01603699999395758,53000.29072454151
Bank marketing,Finance,5,45211,16,0.5625,0.11698480458295547,0.15546006066734075,0.12126634372079066,7912,608,0.8318110209978671,0.9247893187582868,0.09297829776041977,0.20631179022309332,0.17194660820314753,0.484985471190984,0.8527656529226956,-0.07217203068084393,1.0,-0.1723963599595551,1.0,0.0,0.2770158999483101,0.021912200027145445,52935.80630693227
Bank marketing,Finance,6,45211,16,0.5625,0.11698480458295547,0.1597573306370071,0.12152642408368972,7912,598,0.842787186894973,0.9145325819452865,0.07174539505031352,0.20556489913054452,0.15826728050753444,0.4582826905471981,0.8653615231886802,-0.07126294929884941,1.0,-0.1723963599595551,1.0,0.0,0.21141139999963343,0.011411600047722459,71016.00820667962
Bank marketing,Finance,7,45211,16,0.5625,0.11698480458295547,0.15400657229524772,0.1194911061630543,7912,580,0.8592113926670052,0.9182927460165172,0.059081353349512034,0.20221983934383053,0.14481183099121472,0.45417372124085253,0.8721708805989804,-0.07007518920735133,1.0,-0.1678463094034378,1.0,0.0,0.23045859998092055,0.022333999979309738,62596.769060840605
Bank marketing,Finance,8,45211,16,0.5625,0.11698480458295547,0.15463852376137513,0.12197725866187428,7912,641,0.8533871763342545,0.9198587940766977,0.06647161774244315,0.1959788967820575,0.1451089758622665,0.44161845692642177,0.8771423501693196,-0.07841045502090128,1.0,-0.1850353892821031,1.0,0.0,0.24350110004888847,0.01514200004749,61180.83178752298
Bank marketing,Finance,9,45211,16,0.5625,0.11698480458295547,0.15735591506572294,0.1229567530766368,7912,630,0.8606816982949914,0.9255005819960503,0.06481888370105893,0.19609735682243237,0.14212539726134893,0.4493260180571359,0.8765782555812768,-0.07715139280128658,1.0,-0.18503538928210314,1.0,0.0,0.24180670001078397,0.021272299985866994,60149.23274074115
Bank marketing,Finance,10,45211,16,0.5625,0.11698480458295547,0.15388018200202225,0.11900768226498447,7912,567,0.8397871111735418,0.9194885961847615,0.07970148501121976,0.20688659095738743,0.16507456271468068,0.47102385214479603,0.8583508919792106,-0.06755050729650232,1.0,-0.16430738119312435,1.0,0.0,0.17232409998541698,0.015210900048259646,84378.91592053964
Bank marketing,Finance,11,45211,16,0.5625,0.11698480458295547,0.16335945399393326,0.1243533975944225,7912,614,0.8596460767886968,0.9241381111062511,0.06449203431755435,0.21581902319407484,0.14113411108125648,0.4711823684682699,0.8764118588556232,-0.07046692204781511,1.0,-0.16279069767441862,1.0,0.0,0.22918349999235943,0.015182799950707704,64755.2465445796
Bank marketing,Finance,12,45211,16,0.5625,0.11698480458295547,0.1535010111223458,0.11848388320172054,7912,551,0.8773671315766051,0.9238725899064352,0.04650545832983011,0.19699569344593604,0.1271016548440042,0.4616814816695928,0.8728539654839567,-0.06800726148002939,1.0,-0.1653185035389282,1.0,0.0,0.2251236999873072,0.011733299994375557,66808.2429534434
Bank marketing,Finance,13,45211,16,0.5625,0.11698480458295547,0.15893579373104147,0.12279293554196014,7912,615,0.8565243986001599,0.9239676401149375,0.06744324151477754,0.20437979300993503,0.15014523175244088,0.4618641584524657,0.8574155098821098,-0.07341277624977445,1.0,-0.17644084934277046,1.0,0.0,0.14589430001797155,0.009015900024678558,102149.50336158182
Bank marketing,Finance,14,45211,16,0.5625,0.11698480458295547,0.15501769464105156,0.12007301136795598,7912,573,0.8501709887671283,0.9222961219638228,0.07212513319669456,0.19842140069299138,0.1573733956649871,0.457902472791729,0.8731387240749473,-0.07017947237416217,1.0,-0.16683518705763398,1.0,0.0,0.24625329999253154,0.018719199986662716,59719.404848588085
Credit-card default,Finance,0,30000,23,0.0,0.2212,0.31942857142857145,0.2069713578506863,5250,1147,0.5628735943100728,0.6524025735735499,0.08952897926347714,0.4250358202187312,0.5341787464506482,0.5652054411459411,0.4528129310192789,-0.04433949602641632,1.0,-0.11957349581111959,1.0,0.0,0.02802630001679063,0.0049570000264793634,318342.9185747122
