dataset,seed,alpha,nominal_accepted_fraction,accepted_fraction,flagged_fraction,all_error,accepted_error,flagged_error,threshold
Iris,0.0,0.1,0.9,1.0,0.0,0.0,0.0,,0.7557486029244286
Iris,1.0,0.1,0.9,1.0,0.0,0.03333333333333333,0.03333333333333333,,0.9373396528702234
Iris,2.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0,0.8649894907008842
Iris,3.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.034482758620689655,0.0,0.8590274886800261
Iris,4.0,0.1,0.9,1.0,0.0,0.03333333333333333,0.03333333333333333,,0.8654760178164
Iris,5.0,0.1,0.9,1.0,0.0,0.06666666666666667,0.06666666666666667,,0.9639980592955762
Iris,6.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.1,0.06896551724137931,1.0,0.727516690085195
Iris,7.0,0.1,0.9,1.0,0.0,0.03333333333333333,0.03333333333333333,,0.9422417757938533
Iris,8.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.06666666666666667,0.06896551724137931,0.0,0.8327346182877318
Iris,9.0,0.1,0.9,0.8666666666666667,0.13333333333333333,0.13333333333333333,0.038461538461538464,0.75,0.5957024378685778
Iris,10.0,0.1,0.9,1.0,0.0,0.03333333333333333,0.03333333333333333,,0.9921512701965852
Iris,11.0,0.1,0.9,1.0,0.0,0.06666666666666667,0.06666666666666667,,0.9731862867430894
Iris,12.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.06666666666666667,0.06896551724137931,0.0,0.9945063230186136
Iris,13.0,0.1,0.9,1.0,0.0,0.0,0.0,,0.942407338334843
Iris,14.0,0.1,0.9,1.0,0.0,0.0,0.0,,0.931551341207777
Iris,15.0,0.1,0.9,1.0,0.0,0.03333333333333333,0.03333333333333333,,0.8297627272399309
Iris,16.0,0.1,0.9,1.0,0.0,0.03333333333333333,0.03333333333333333,,0.8917656086788089
Iris,17.0,0.1,0.9,0.9333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.5,0.7281928527900866
Iris,18.0,0.1,0.9,0.9666666666666667,0.03333333333333333,0.06666666666666667,0.034482758620689655,1.0,0.7080174441077715
Iris,19.0,0.1,0.9,1.0,0.0,0.03333333333333333,0.03333333333333333,,0.9503863452464337
Iris,20.0,0.1,0.9,1.0,0.0,0.06666666666666667,0.06666666666666667,,0.9998504935770783
