dataset,openml_name,openml_version,n,p_raw,test_error,auc,high_confidence_error,high_confidence_low_conflict_error,high_confidence_high_conflict_error,gap,split_success_rate,ratio
Diabetes,diabetes,1,768,8,0.24728624535315982,0.8317629179331307,0.12503703703703703,0.05,0.17705882352941177,0.12705882352941175,1.0,3.541176470588235
Heart disease,heart-statlog,1,270,13,0.16736842105263158,0.9046630727762803,0.06916666666666667,0.009999999999999998,0.1433333333333333,0.13333333333333333,0.86,14.333333333333334
Blood transfusion,blood-transfusion-service-center,1,748,4,0.3389312977099237,0.7522677419354838,0.19794073283983515,0.1615351666826986,0.24369371598473766,0.08215854930203907,0.88,1.5086109172959348
