dataset,n,p,perturbations,base_fit_score_seconds,stability_seconds,stability_to_base_ratio
Iris: versicolor vs virginica,100,4,40,0.006269600009545684,0.18842360004782677,30.053528097637056
Wine: class 1 vs class 2,119,13,40,0.006062100059352815,0.2005228999769315,33.07812441458434
Breast cancer: benign vs malignant,569,30,40,0.0071585000259801745,0.2573490999639034,35.950143050906256
Digits: 3 vs 5,365,64,40,0.0053882000502198935,0.2112190000480041,39.2002891650959
