dataset,openml_name,openml_version,seed,method,top_quartile_error,error_auc,mean_score
Diabetes,diabetes,1,17,Low confidence,0.17647058823529413,0.4872958257713249,0.11660269804610651
Diabetes,diabetes,1,17,SEF-entropy rank correlation,0.04662471953955712,,
Diabetes,diabetes,1,18,SEF conflict,0.17647058823529413,0.6848739495798319,0.3340561699013947
Diabetes,diabetes,1,18,Attribution entropy,0.11764705882352941,0.5089285714285714,0.7750393358291839
Diabetes,diabetes,1,18,Attribution Gini spread,0.08823529411764706,0.4947478991596639,0.723551478357987
Diabetes,diabetes,1,18,Low confidence,0.23529411764705882,0.6654411764705883,0.14215975478494786
Diabetes,diabetes,1,18,SEF-entropy rank correlation,0.07893864013267,,
Diabetes,diabetes,1,19,SEF conflict,0.17647058823529413,0.6407563025210085,0.2934600108300217
Diabetes,diabetes,1,19,Attribution entropy,0.14705882352941177,0.5078781512605042,0.7157081295678842
Diabetes,diabetes,1,19,Attribution Gini spread,0.11764705882352941,0.48266806722689076,0.6776066878735668
Diabetes,diabetes,1,19,Low confidence,0.17647058823529413,0.626575630252101,0.13838623914582618
Diabetes,diabetes,1,19,SEF-entropy rank correlation,0.13413098006421548,,
Diabetes,diabetes,1,20,SEF conflict,0.14705882352941177,0.6916771752837327,0.25244034937513476
Diabetes,diabetes,1,20,Attribution entropy,0.14705882352941177,0.6040353089533418,0.7022433837327878
Diabetes,diabetes,1,20,Attribution Gini spread,0.14705882352941177,0.5907944514501892,0.6866403334910146
Diabetes,diabetes,1,20,Low confidence,0.20588235294117646,0.7389659520807063,0.14828696589426144
Diabetes,diabetes,1,20,SEF-entropy rank correlation,0.10500438981562775,,
Diabetes,diabetes,1,21,SEF conflict,0.11764705882352941,0.5754985754985755,0.31363251816826093
Diabetes,diabetes,1,21,Attribution entropy,0.23529411764705882,0.5479582146248814,0.7352317902912678
Diabetes,diabetes,1,21,Attribution Gini spread,0.14705882352941177,0.5023741690408356,0.6985833104123752
Diabetes,diabetes,1,21,Low confidence,0.14705882352941177,0.576923076923077,0.13782543892363053
Diabetes,diabetes,1,21,SEF-entropy rank correlation,0.11330114135206323,,
Diabetes,diabetes,1,22,SEF conflict,0.14705882352941177,0.5397225725094578,0.24112115823377903
Diabetes,diabetes,1,22,Attribution entropy,0.058823529411764705,0.4117276166456494,0.6663455413986252
Diabetes,diabetes,1,22,Attribution Gini spread,0.058823529411764705,0.3909205548549811,0.6495710301515955
Diabetes,diabetes,1,22,Low confidence,0.11764705882352941,0.5838587641866331,0.11153131412825462
Diabetes,diabetes,1,22,SEF-entropy rank correlation,0.0011559847819724905,,
Diabetes,diabetes,1,23,SEF conflict,0.17647058823529413,0.7408500590318772,0.2839023873734498
Diabetes,diabetes,1,23,Attribution entropy,0.17647058823529413,0.5926800472255018,0.7068154702937481
Diabetes,diabetes,1,23,Attribution Gini spread,0.14705882352941177,0.5501770956316411,0.6827671898724798
Diabetes,diabetes,1,23,Low confidence,0.20588235294117646,0.7402597402597403,0.15917911172298405
Diabetes,diabetes,1,23,SEF-entropy rank correlation,0.051702272948980596,,
Diabetes,diabetes,1,24,SEF conflict,0.29411764705882354,0.6844466600199403,0.31461439150360004
